,Data_Completeness_Score_Name,People_Positive_New_Cases_Count,People_Positive_Cases_Count,People_Negative_New_Count,People_Negative_Cases_Count,People_Test_Results_New_Count,People_Pending_Cases_Count,Total_Tested_Positive_per_100k,People_Positive_Negative_Test_Results_Count,People_Hospitalized_New_Count,People_Hospitalized_Currently_Count,People_Hospitalized_Cumulative_Count,Hospitalizations_per_100k_Incidence,People_In_Intensive_Care_Currently_Count,People_In_Intensive_Care_Cumulative_Count,People_Intubated_Currently_Count,People_Intubated_Cumulative_Count,People_Death_New_Count,People_Death_Count,Deaths_per_100k,Death_Rate,People_Recovered_Count,Report_Date,Reported_Date_Time,Day,Month,Province_State_Code,Pop
0,A,52,1631.0,6568,154462.0,6620,,222.2064790014196,156093,0,32.0,,4.359661145337478,,,0.0,,0,17.0,2.3160699834605354,0.0023160699834605357,669.0,7/15/2020,2020-07-15 00:00:00,197.0,7.0,AK,734002.0
1,B,1812,59067.0,10148,481982.0,11960,,1203.3320974123073,541049,168,1362.0,7291.0,27.747106111289934,,941.0,,514.0,47,1211.0,24.670885096014768,0.024670885096014766,29736.0,7/15/2020,2020-07-15 11:00:00,197.0,7.0,AL,4908620.0
2,A,564,30297.0,4913,365479.0,5477,,996.9397828232972,395776,76,458.0,1948.0,15.070746956235604,,,94.0,279.0,4,335.0,11.023362948338269,0.011023362948338269,23523.0,7/15/2020,2020-07-15 14:36:00,197.0,7.0,AR,3039000.0
3,C,0,0.0,0,816.0,0,,,816,0,,,,,,,,0,0.0,0.0,0.0,,7/15/2020,2020-07-01 00:00:00,183.0,7.0,AS,55183.0
4,A+,3257,131354.0,10762,604608.0,14019,,1780.2287459900333,735962,161,3493.0,6103.0,47.34030946711319,929.0,,671.0,,97,2434.0,32.98777934238577,0.032987779342385774,16155.0,7/15/2020,2020-07-15 00:00:00,197.0,7.0,AZ,7378490.0
5,B,11126,347634.0,107195,5445642.0,118321,,870.4450704225352,5793276,0,8353.0,,20.915179968701096,2110.0,,,,140,7227.0,18.095774647887325,0.018095774647887326,,7/15/2020,2020-07-15 00:00:00,197.0,7.0,CA,39937500.0
6,A,444,37686.0,4591,372304.0,5035,,644.6977434039343,409990,22,368.0,5963.0,6.29540862847338,,,,,5,1594.0,27.268699330941764,0.027268699330941764,4844.0,7/15/2020,2020-07-15 01:59:00,197.0,7.0,CO,5845530.0
7,B,106,47636.0,12232,556463.0,12338,,1336.9332150835794,604099,0,67.0,10552.0,1.880395612784445,,,,,8,4380.0,122.92735498501297,0.12292735498501298,8351.0,7/15/2020,2020-07-14 20:30:00,196.0,7.0,CT,3563080.0
8,A+,80,11026.0,3948,126918.0,4028,,1529.9290815569034,137944,0,95.0,,13.181866746590407,24.0,,15.0,,3,571.0,79.22995697161181,0.07922995697161181,1809.0,7/15/2020,2020-07-14 00:00:00,196.0,7.0,DC,720687.0
9,A+,81,13050.0,1707,130338.0,1788,,1327.7104878954517,143388,0,51.0,,5.188753630855788,11.0,,,,3,521.0,53.00667924854639,0.05300667924854639,7236.0,7/15/2020,2020-07-14 18:00:00,196.0,7.0,DE,982895.0
10,A,10181,301810.0,40529,2434143.0,50710,2189.0,1372.3002773609785,2735953,458,8217.0,19659.0,37.36188787341427,,,,,112,4626.0,21.033965352612196,0.021033965352612195,,7/15/2020,2020-07-14 23:59:00,196.0,7.0,FL,21993000.0
